serie;nome;numero
Alba Suprema;Jolteon;23/100
Alba Suprema;Leafeon;24/100
Alba Suprema;Minun;25/100
Alba Suprema;Omastar;26/100
Alba Suprema;Phione;27/100
Alba Suprema;Plusle;28/100
Alba Suprema;Scizor;29/100
Alba Suprema;Torterra;30/100
Alba Suprema;Toxicroak;31/100
Alba Suprema;Umbreon;32/100
Alba Suprema;Unown P;33/100
Alba Suprema;Vaporeon;34/100
Alba Suprema;Ambipom;35/100
Alba Suprema;Fearow;36/100
Alba Suprema;Grotle;37/100
Alba Suprema;Kangaskhan;38/100
Alba Suprema;Lickitung;39/100
Alba Suprema;Manectric;40/100
Alba Suprema;Monferno;41/100
Alba Suprema;Mothim;42/100
Alba Suprema;Pachirisu;43/100
Alba Suprema;Prinplup;44/100
Alba Suprema;Raichu;45/100
Alba Suprema;Scyther;46/100
Alba Suprema;Staravia;47/100
Alba Suprema;Sudowoodo;48/100
Alba Suprema;Unown Q;49/100
Alba Suprema;Aipom;50/100
Alba Suprema;Aipom;51/100
Alba Suprema;Bronzor;52/100
Alba Suprema;Buneary;53/100
Alba Suprema;Burmy MANTO SABBIA;54/100
Alba Suprema;Chatot;55/100
Alba Suprema;Chimchar;56/100
Alba Suprema;Chimchar;57/100
Alba Suprema;Chingling;58/100
Alba Suprema;Combee;59/100
Alba Suprema;Croagunk;60/100
Alba Suprema;Drifloon;61/100
Alba Suprema;Eevee;62/100
Alba Suprema;Eevee;63/100
Alba Suprema;Electrike;64/100
Alba Suprema;Glameow;65/100
Alba Suprema;Hippopotas;66/100
Alba Suprema;Kabuto;67/100
Alba Suprema;Munchlax;68/100
Alba Suprema;Omanyte;69/100
Alba Suprema;Pikachu;70/100
Alba Suprema;Piplup;71/100
Alba Suprema;Piplup;72/100
Alba Suprema;Shellos MARE EST;73/100
Alba Suprema;Spearow;74/100
Alba Suprema;Starly;75/100
Alba Suprema;Stunky;76/100
Alba Suprema;Turtwig;77/100
Alba Suprema;Turtwig;78/100
Alba Suprema;Stadio dell'Alba;79/100
Alba Suprema;Scuro Ball;80/100
Alba Suprema;Ripristina Energia;81/100
Alba Suprema;Scavatore di Fossili;82/100
Alba Suprema;Cuore di Mamma;83/100
Alba Suprema;Ambra Antica;84/100
Alba Suprema;Pok Ball;85/100
Alba Suprema;Velox Ball;86/100
Alba Suprema;Super Recupero;87/100
Alba Suprema;Punto di Curvatura;88/100
Alba Suprema;Domofossile;89/100
Alba Suprema;Ricerca di Energia;90/100
Alba Suprema;Helixfossile;91/100
Alba Suprema;Energia Richiamo;92/100
Alba Suprema;Energia Oscurit;93/100
Alba Suprema;Energia Salute;94/100
Alba Suprema;Energia Metallo;95/100
Alba Suprema;Energia Ripresa;96/100
Alba Suprema;Garchomp LIV.X;97/100
Alba Suprema;Glaceon LIV.X;98/100
Alba Suprema;Leafeon LIV.X;99/100
Alba Suprema;Porygon;100/100
Antiche Origini;Oddish;1/98
Antiche Origini;Gloom;2/98
Antiche Origini;Vileplume;3/98
Antiche Origini;Bellossom;4/98
Antiche Origini;Spinarak;5/98
Antiche Origini;Ariados;6/98
Antiche Origini;Sceptile ex;7/98
Antiche Origini;MSceptile ex;8/98
Antiche Origini;Combee;9/988
Antiche Origini;Vespiquen;10/98
Antiche Origini;Vespiquen;11/98
Antiche Origini;Virizion;12/98
Antiche Origini;Flareon;13/98
Antiche Origini;Entei;14/98
Antiche Origini;Entei;15/98
Antiche Origini;Larvesta;16/98
Antiche Origini;Volcarona;17/98
Antiche Origini;Volcarona;18/98
Antiche Origini;Magikarp;19/98
Antiche Origini;Gyarados;20/98
Antiche Origini;Gyarados;21/98
Antiche Origini;Vaporeon;22/98
Antiche Origini;Relicanth;23/98
Antiche Origini;Regice;24/98
Antiche Origini;Kyurem ex;25/98
Antiche Origini;Jolteon;26/98
Antiche Origini;Ampharos ex;27/98
Antiche Origini;Mampharos ex;28/98
Antiche Origini;Rotom;29/98
Antiche Origini;Unown;30/98
Antiche Origini;Baltoy;31/98
Antiche Origini;Baltoy;32/98
Antiche Origini;Claydol;33/98
Antiche Origini;Golett;34/98
Antiche Origini;Golurk;35/98
Antiche Origini;Hoopa ex;36/98
Antiche Origini;Machamp ex;37/98
Antiche Origini;Wooper;38/98
Antiche Origini;Quagsire;39/98
Antiche Origini;Regirock;40/98
Antiche Origini;Golurk;41/98
Antiche Origini;Tyranitar ex;42/98
Antiche Origini;MTyranitar ex;43/98
Antiche Origini;Sableye;44/98
Antiche Origini;Inkay;45/98
Antiche Origini;Malamar;46/98
Antiche Origini;Beldum;47/98
Antiche Origini;Metang;48/98
Antiche Origini;Metagross;49/98
Antiche Origini;Metagross;50/98
Antiche Origini;Registeel;51/98
Antiche Origini;Ralts;52/98
Antiche Origini;Kirlia;53/98
Antiche Origini;Gardevoir;54/98
Antiche Origini;Cottonee;55/98
Antiche Origini;Whimsicott;56/98
Antiche Origini;Giratina ex;57/98
Antiche Origini;Goomy;58/98
Antiche Origini;Sliggoo;59/98
Antiche Origini;Goodra;60/98
Antiche Origini;Meowth;61/98
Antiche Origini;Persian;62/98
Antiche Origini;Eevee;63/98
Antiche Origini;Porygon;64/98
Antiche Origini;Porygon2;65/98
Antiche Origini;Porygon;66/98
Antiche Origini;Porygon;67/98
Antiche Origini;Lugia ex;68/98
Antiche Origini;Fantallenatori;69/98
Antiche Origini;Legame Mentale con Ampharos;70/98
Antiche Origini;Braccio Ecologico;71/98
Antiche Origini;Riciclaggio di Energia;72/98
Antiche Origini;Citt Deserta;73/98
Antiche Origini;Foresta delle Piante Giganti;74/98
Antiche Origini;Streghetta;75/98
Antiche Origini;Level Ball;76/98
Antiche Origini;Fortunelmo;77/98
Antiche Origini;Elisio;78/98
Antiche Origini;Imbiancarullo;79/98
Antiche Origini;Legame Mentale con Sceptile;80/98
Antiche Origini;Legame Mentale con Tyranitar;81/98
Antiche Origini;Energia Pericolo;82/98
Antiche Origini;Energia Flash;83/98
Antiche Origini;Sceptile ex;84/98
Antiche Origini;MSceptile ex;85/98
Antiche Origini;Kyurem ex;86/98
Antiche Origini;Ampharos ex;87/98
Antiche Origini;MAmpharos ex;88/98
Antiche Origini;Hoopa ex;89/98
Antiche Origini;Machamp ex;90/98
Antiche Origini;Tyranitar ex;91/98
Antiche Origini;MTyranitar ex;92/98
Antiche Origini;Giratina ex;93/98
Antiche Origini;Lugia ex;94/98
Antiche Origini;Rocco;95/98
Antiche Origini;Archeo Kyogre ex;96/98
Antiche Origini;Archeo Groudon ex;97/98
Antiche Origini;MRayquaza ex;98/98
Antiche Origini;Recupero di Energia;99/98
Antiche Origini;Posta Allenatori;100/98
Apocalisse di Luce;Exeggcute;1/131
Apocalisse di Luce;Exeggutor di Alola;2/131
Apocalisse di Luce;Snover;3/131
Apocalisse di Luce;Abomasnow;4/131
Apocalisse di Luce;Scatterbug;5/131
Apocalisse di Luce;Scatterbug;6/131
Apocalisse di Luce;Spewpa;7/131
Apocalisse di Luce;Vivillon;8/131
Apocalisse di Luce;Skiddo;9/131
Apocalisse di Luce;Gogoat;10/131
Apocalisse di Luce;Pheromosa;11/131
Apocalisse di Luce;Marowak di Alola;12/131
Apocalisse di Luce;Heatran;13/131
Apocalisse di Luce;Fennekin;14/131
Apocalisse di Luce;Fennekin;15/131
Apocalisse di Luce;Braixen;16/131
Apocalisse di Luce;Delphox;17/131
Apocalisse di Luce;Litleo;18/131
Apocalisse di Luce;Pyroar;19/131
Apocalisse di Luce;Palkia gx;20/131
Apocalisse di Luce;Froakie;21/131
Apocalisse di Luce;Froakie;22/131
Apocalisse di Luce;Frogadier;23/131
Apocalisse di Luce;Greninja gx;24/131
Apocalisse di Luce;Clauncher;25/131
Apocalisse di Luce;Clawitzer;26/131
Apocalisse di Luce;Amaura;27/131
Apocalisse di Luce;Aurorus;28/131
Apocalisse di Luce;Bergmite;29/131
Apocalisse di Luce;Avalugg;30/131
Apocalisse di Luce;Volcanion;31/131
Apocalisse di Luce;Dewpider;32/131
Apocalisse di Luce;Araquanid;33/131
Apocalisse di Luce;Magnemite;34/131
Apocalisse di Luce;Magneton;35/131
Apocalisse di Luce;Magnezone;36/131
Apocalisse di Luce;Helioptile;37/131
Apocalisse di Luce;Heliolisk;38/131
Apocalisse di Luce;Xurkitree;39/131
Apocalisse di Luce;Rotom;40/131
Apocalisse di Luce;Uxie;41/131
Apocalisse di Luce;Mesprit;42/131
Apocalisse di Luce;Azelf;43/131
Apocalisse di Luce;Espurr;44/131
Apocalisse di Luce;Meowstic;45/131
Apocalisse di Luce;Honedge;46/131
Apocalisse di Luce;Honedge;47/131
Apocalisse di Luce;Doublade;48/131
Apocalisse di Luce;Aegislash;49/131
Apocalisse di Luce;Inkay;50/131
Apocalisse di Luce;Malamar;51/131
Apocalisse di Luce;Skrelp;52/131
Apocalisse di Luce;Dragalge;53/131
Apocalisse di Luce;Hoopa;54/131
Apocalisse di Luce;Poipole;55/131
Apocalisse di Luce;Naganadel gx;56/131
Apocalisse di Luce;Cubone;57/131
Apocalisse di Luce;Torterra;58/131
Apocalisse di Luce;Infernape;59/131
Apocalisse di Luce;Gible;60/131
Apocalisse di Luce;Gabite;61/131
Apocalisse di Luce;Garchomp;62/131
Apocalisse di Luce;Croagunk;63/131
Apocalisse di Luce;Toxicroak;64/131
Apocalisse di Luce;Pancham;65/131
Apocalisse di Luce;Binacle;66/131
Apocalisse di Luce;Barbaracle;67/131
Apocalisse di Luce;Tyrunt;68/131
Apocalisse di Luce;Tyrantrum;69/131
Apocalisse di Luce;Hawluch;70/131
Apocalisse di Luce;Zygarde;71/131
Apocalisse di Luce;Zygarde;72/131
Apocalisse di Luce;Zygarde gx;73/131
Apocalisse di Luce;Diancie;74/131
Apocalisse di Luce;Rockruff;75/131
Apocalisse di Luce;Lycanroc;76/131
Apocalisse di Luce;Buzzwole;77/131
Apocalisse di Luce;Pangoro;78/131
Apocalisse di Luce;Yveltal gx;79/131
Apocalisse di Luce;Guzzlord;80/131
Apocalisse di Luce;Empoleon;81/131
Apocalisse di Luce;Dialga gx;82/131
Apocalisse di Luce;Flab b;83/131
Apocalisse di Luce;Flab b;84/131
Apocalisse di Luce;Floette;85/131
Apocalisse di Luce;Florges;86/131
Apocalisse di Luce;Sylveon;87/131
Apocalisse di Luce;Dedenne;88/131
Apocalisse di Luce;Klefki;89/131
Apocalisse di Luce;Xerneas gx;90/131
Apocalisse di Luce;Goomy;91/131
Apocalisse di Luce;Goomy;92/131
Apocalisse di Luce;Sliggoo;93/131
Apocalisse di Luce;Goodra;94/131
Apocalisse di Luce;UltraNecrozma gx;95/131
Apocalisse di Luce;Arceus;96/131
Apocalisse di Luce;Bunnelby;97/131
Apocalisse di Luce;Diggersby;98/131
Apocalisse di Luce;Furfrou;99/131
Apocalisse di Luce;Noibat;100/131
Apocalisse di Luce;Noivern;101/131
Apocalisse di Luce;Cerchio Creatura;102/131
Apocalisse di Luce;Clem;103/131
Apocalisse di Luce;Omar il Distruttore;104/131
Apocalisse di Luce;Diantha;105/131
Apocalisse di Luce;Energitrasporto;106/131
Apocalisse di Luce;Mappa Scavafossili;107/131
Apocalisse di Luce;Arbitro;108/131
Apocalisse di Luce;Lady;109/131
Apocalisse di Luce;Elisio;110/131
Apocalisse di Luce;Laboratori Elisio;111/131
Apocalisse di Luce;Padella di Metallo;112/131
Apocalisse di Luce;Tesoro Misterioso;113/131
Apocalisse di Luce;Ultrapattuglia;114/131
Apocalisse di Luce;Ultramondo;115/131
Apocalisse di Luce;Fossile Sconosciuto;116/131
Apocalisse di Luce;Energia Creatura;117/131
Apocalisse di Luce;Energia Unione;118/131
Apocalisse di Luce;Palkia gx;119/131
Apocalisse di Luce;Greninja gx;120/131
Apocalisse di Luce;Naganadel gx;121/131
Apocalisse di Luce;Lucario gx;122/131
Apocalisse di Luce;Zygarde gx;123/131
Apocalisse di Luce;Yveltal gx;124/131
Apocalisse di Luce;Dialga gx;125/131
Apocalisse di Luce;Xerneas gx;126/131
Apocalisse di Luce;UltraNecrozma gx;127/131
Apocalisse di Luce;Clem;128/131
Apocalisse di Luce;Omar il Distruttore;129/131
Apocalisse di Luce;Diantha;130/131
Apocalisse di Luce;Ultrapattuglia;131/131
Apocalisse di Luce;Palkia gx;132/131
Apocalisse di Luce;Greninja gx;133/131
Apocalisse di Luce;Naganadel gx;134/131
Apocalisse di Luce;Lucario gx;135/131
Apocalisse di Luce;Zygarde gx;136/131
Apocalisse di Luce;Yveltal gx;137/131
Apocalisse di Luce;Dialga gx;138/131
Apocalisse di Luce;Xerneas gx;139/131
Apocalisse di Luce;UltraNecrozma gx;140/131
Apocalisse di Luce;Cerchio Creatura;141/131
Apocalisse di Luce;Energitrasporto;142/131
Apocalisse di Luce;Riciclaggio di Energia;143/131
Apocalisse di Luce;Padella di Metallo;144/131
Apocalisse di Luce;Tesoro Misterioso;145/131
Apocalisse di Luce;Energia Unione;146/131
Aquapolis;Ampharos;1/147
Aquapolis;Arcanine;2/147
Aquapolis;Ariados;3/147
Aquapolis;Azumarill;4/147
Aquapolis;Bellossom;5/147
Aquapolis;Blissey;6/147
Aquapolis;Donphan;7/147
Aquapolis;Electrode;8/147
Aquapolis;Elekid;9/147
Aquapolis;Entei;10/147
Aquapolis;Espeon;11/147
Aquapolis;Exeggutor;12/147
Aquapolis;Exeggutor;13/147
Aquapolis;Houndoom;14/147
Aquapolis;Houndoom;15/147
Aquapolis;Hypno;16/147
Aquapolis;Jumpluff;17/147
Aquapolis;Jynx;18/147
Aquapolis;Kingdra;19/147
Aquapolis;Lanturn;20/147
Aquapolis;Lanturn;21/147
Aquapolis;Magneton;22/147
Aquapolis;Muk;23/147
Aquapolis;Nidoking;24/147
Aquapolis;Ninetales;25/147
Aquapolis;Octillery;26/147
Aquapolis;Parasect;27/147
Aquapolis;Porygon2;28/147
Aquapolis;Primeape;29/147
Aquapolis;Quagsire;30/147
Aquapolis;Rapidash;31/147
Aquapolis;Scizor;32/147
Aquapolis;Slowbro;33/147
Aquapolis;Slowking;34/147
Aquapolis;Steelix;35/147
Aquapolis;Sudowoodo;36/147
Aquapolis;Suicune;37/147
Aquapolis;Tentacruel;38/147
Aquapolis;Togetic;39/147
Aquapolis;Tyranitar;40/147
Aquapolis;Umbreon;41/147
Aquapolis;Victreebel;42/147
Aquapolis;Vileplume;43/147
Aquapolis;Zapdos;44/147
Aquapolis;Bellsprout;45/147
Aquapolis;Dodrio;46/147
Aquapolis;Flaaffy;47/147
Aquapolis;Furret;48/147
Aquapolis;Gloom;49/147
Aquapolis;Growlithe;51/147
Aquapolis;Magnemite;52/147
Aquapolis;Marill;53/147
Aquapolis;Marowak;54/147
Aquapolis;Nidorino;55/147
Aquapolis;Pupitar;56/147
Aquapolis;Scyther;57/147
Aquapolis;Seadra;58/147
Aquapolis;Seaking;59/147
Aquapolis;Skiploom;60/147
Aquapolis;Smoochum;61/147
Aquapolis;Spinarak;62/147
Aquapolis;Tyrogue;63/147
Aquapolis;Voltorb;64/147
Aquapolis;Weepinbell;65/147
Aquapolis;Wooper;66/147
Aquapolis;Aipom;67/147
Aquapolis;Bellsprout;68/147
Aquapolis;Chansey;69/147
Aquapolis;Chinchou;70/147
Aquapolis;Chinchou;71/147
Aquapolis;Cubone;72/147
Aquapolis;Doduo;73/147
Aquapolis;Eevee;75/147
Aquapolis;Exeggcute;76/147
Aquapolis;Exeggcute;77/147
Aquapolis;Goldeen;78/147
Aquapolis;Grimer;79/147
Aquapolis;Growlithe;80/147
Aquapolis;Hitmonchan;81/147
Aquapolis;Hitmontop;82/147
Aquapolis;Hoppip;83/147
Aquapolis;Horsea;84/147
Aquapolis;Horsea;85/147
Aquapolis;Houndour;86/147
Aquapolis;Houndour;87/147
Aquapolis;Kangaskhan;88/147
Aquapolis;Larvitar;89/147
Aquapolis;Lickitung;90/147
Aquapolis;Magnemite;91/147
Aquapolis;Mankey;92/147
Aquapolis;Mareep;93/147
Aquapolis;Miltank;94/147
Aquapolis;Nidoran?;96/147
Aquapolis;Oddish;97/147
Aquapolis;Onix;98/147
Aquapolis;Paras;99/147
Aquapolis;Phanpy;100/147
Aquapolis;Pinsir;101/147
Aquapolis;Ponyta;102/147
Aquapolis;Psyduck;104/147
Aquapolis;Remoraid;105/147
Aquapolis;Scyther;106/147
Aquapolis;Sentret;107/147
Aquapolis;Slowpoke;108/147
Aquapolis;Smeargle;109/147
Aquapolis;Sneasel;110/147
Aquapolis;Spinarak;111/147
Aquapolis;Tangela;112/147
Aquapolis;Tentacool;113/147
Aquapolis;Togepi;114/147
Aquapolis;Voltorb;115/147
Aquapolis;Vulpix;116/147
Aquapolis;Wooper;117/147
Aquapolis;Foresta degli Apricorn;118/147
Aquapolis;Cubo Oscurit 01;119/147
Aquapolis;Scambio di Energia;120/147
Aquapolis;Cubo Combattimento 01;121/147
Aquapolis;Cubo Fuoco 01;122/147
Aquapolis;Guardia Forestale;123/147
Aquapolis;Cubo Erba 01;124/147
Aquapolis;Bacca Curativa;125/147
Aquapolis;Prestigiatore;126/147
Aquapolis;Cubo Lampo 01;127/147
Aquapolis;Bacca Memoria;128/147
Aquapolis;Cubo Metallo 01;129/147
Aquapolis;Pok mon Fan Club;130/147
Aquapolis;Parco Pok mon;131/147
Aquapolis;Cubo Psiche 01;132/147
Aquapolis;Veggente;133/147
Aquapolis;Super Rimozione di Energia 2;134/147
Aquapolis;Frammento Temporale;135/147
Aquapolis;Volontari Cittadini;136/147
Aquapolis;Commesso Viaggiatore;137/147
Aquapolis;Rovine Sommerse;138/147
Aquapolis;Centrale Energetica;139/147
Aquapolis;Cubo Acqua 01;140/147
Aquapolis;Controlla Debolezza;141/147
Aquapolis;Energia Oscurit;142/147
Aquapolis;Energia Metallo;143/147
Aquapolis;Energia Arcobaleno;144/147
Aquapolis;Energia Extra;145/147
Aquapolis;Energia Cristallo;146/147
Aquapolis;Energia Curvatura;147/147
Aquapolis;Kingdra;148/147
Aquapolis;Lugia;149/147
Aquapolis;Nidoking;150/147
Arceus;Charizard;1/99
Arceus;Froslass;2/99
Arceus;Heatran;3/99
Arceus;Kabutops;4/99
Arceus;Luxray;5/99
Arceus;Mothim;6/99
Arceus;Probopass;7/99
Arceus;Salamence;8/99
Arceus;Swalot;9/99
Arceus;Tangrowth;10/99
Arceus;Toxicroak;11/99
Arceus;Zapdos;12/99
Arceus;Aerodactyl;13/99
Arceus;Bronzong;14/99
Arceus;Cherrim;15/99
Arceus;Gengar;16/99
Arceus;Gengar;17/99
Arceus;Glalie;18/99
Arceus;Golem;19/99
Arceus;Hariyama;20/99
Arceus;Lopunny;21/99
Arceus;Manectric;22/99
Arceus;Omastar;23/99
Arceus;Pelipper;24/99
Arceus;Pichu;25/99
Arceus;Porygon;26/99
Arceus;Raichu;27/99
Arceus;Rapidash;28/99
Arceus;Raticate;29/99
Arceus;Sceptile;30/99
Arceus;Sceptile;31/99
Arceus;Spiritomb;32/99
Arceus;Bronzong;33/99
Arceus;Bronzor;34/99
Arceus;Charmeleon;35/99
Arceus;Gastly;36/99
Arceus;Graveler;37/99
Arceus;Grovyle;38/99
Arceus;Grovyle;39/99
Arceus;Gulpin;40/99
Arceus;Haunter;41/99
Arceus;Haunter;42/99
Arceus;Luxio;43/99
Arceus;Manectric;44/99
Arceus;Pelipper;45/99
Arceus;Ponyta;46/99
Arceus;Rapidash;47/99
Arceus;Shelgon;48/99
Arceus;Wormadam Manto Pianta;49/99
Arceus;Wormadam Manto Sabbia;50/99
Arceus;Wormadam Manto Scarti;51/99
Arceus;Bagon;52/99
Arceus;Beedrill;53/99
Arceus;Bronzor;54/99
Arceus;Buneary;55/99
Arceus;Burmy Manto Pianta;56/99
Arceus;Burmy Manto Sabbia;57/99
Arceus;Burmy Manto Scarti;58/99
Arceus;Charmander;59/99
Arceus;Cherubi;60/99
Arceus;Croagunk;61/99
Arceus;Electrike;62/99
Arceus;Electrike;63/99
Arceus;Gastly;64/99
Arceus;Geodude;65/99
Arceus;Gulpin;66/99
Arceus;Kabuto;67/99
Arceus;Makuhita;68/99
Arceus;Nosepass;69/99
Arceus;Omanyte;70/99
Arceus;Pikachu;71/99
Arceus;Ponyta;72/99
Arceus;Rattata;73/99
Arceus;Shinx;74/99
Arceus;Snorunt;75/99
Arceus;Tangela;76/99
Arceus;Tangela;77/99
Arceus;Treecko;78/99
Arceus;Treecko;79/99
Arceus;Wingull;80/99
Arceus;Wingull;81/99
Arceus;Portale d'Inizio;82/99
Arceus;Scudo Panchina;83/99
Arceus;Paracolpi;84/99
Arceus;Ragazza del Centro Commerciale;85/99
Arceus;Ripristina Energia;86/99
Arceus;Abilcintura;87/99
Arceus;Fortunuovo;88/99
Arceus;Ambra Antica;89/99
Arceus;Visita del Professor Oak;90/99
Arceus;Area Finale;91/99
Arceus;Domofossile;92/99
Arceus;Helixfossile;93/99
Arceus;Arceus LIV.X;94/99
Arceus;Arceus LIV.X;95/99
Arceus;Arceus LIV.X;96/99
Arceus;Gengar LIV.X;97/99
Arceus;Salamence LIV.X;98/99
Arceus;Tangrowth LIV.X;99/99
Ascesa Eroica;Oddish di Erika;1/217
Ascesa Eroica;Gloom di Erika;2/217
Ascesa Eroica;Bellsprout di Erika;4/217
Ascesa Eroica;Weepinbell di Erika;5/217
Ascesa Eroica;Victreebel di Erika;6/217
Ascesa Eroica;Tangela di Erika;7/217
Ascesa Eroica;Chikorita;8/217
Ascesa Eroica;Bayleef;9/217
Ascesa Eroica;Mega Meganium;10/217
Ascesa Eroica;Wurmple;11/217
Ascesa Eroica;Silcoon;12/217
Ascesa Eroica;Beautifly;13/217
Ascesa Eroica;Cascoon;14/217
Ascesa Eroica;Dustox;15/217
Ascesa Eroica;Budew;16/217
Ascesa Eroica;Grubbin;17/217
Ascesa Eroica;Tarountula del Team Rocket;18/217
Ascesa Eroica;Spidops del Team Rocket;19/217
